ticker,input_ric,instrument_id,organization_id,historical_rics,status,notes
GOOGL,GOOGL.O,8590925559,,GOOG.OQ;GOOGL.OQ,OK,
GPC,GPC,8590943280,,GPC.N,OK,
GPN,GPN,8590940339,,GPN.N,OK,
GPS,1GPSZ1m,21848383697,,,OK,
GRMN,GRMN.K,8590943622,,GRMN.OQ,OK,
GS,GS,8590942442,,GS.N,OK,
GT,GT.O,8590931629,,GT.N;GT.OQ,OK,
GWW,GWW,8590937469,,GWW.N,OK,
HAL,HAL,8590930194,,HAL.N,OK,
HAS,HAS.O,8590939322,,HAS.N;HAS.OQ,OK,
HBAN,HBAN.O,8590927532,,HBAN.OQ,OK,
HBI,01HIBQ5,21828662358,,,OK,
HCA,HCA,21475752423,,HCA.N,OK,
HCP,HCP.B^J07,8590922900,,HCP.N,OK,
HD,HD,8590925665,,HD.N,OK,
HES,HES.PH^B09,8590922193,,AHC.N;HES.N,OK,
HIG,HIG,8590941149,,HIG.N,OK,
HII,HII,21475789382,,HII_w.N;HII.N,OK,
HLT,HLT,21529510964,,HLT.N,OK,
HOG,HOG,8590929636,,HDI.N;HOG.N,OK,
HOLX,HOLX.B^J07,8590933130,,HOLX.OQ,OK,
HON,HON.O,8590935517,,HON.N,OK,
HP,HP,8590931772,,HP.N,OK,
HPE,HPE,21573826933,,HPE_w.N;HPE.N,OK,
HPQ,HPQ,8590926177,,HPQ.N,OK,
HRB,HRB,8590928560,,HRB.N,OK,
HRL,HRL,8590933822,,HRL.N,OK,
HSIC,HSIC.O,8590931645,,HSIC.OQ,OK,
HST,HST.O,8590929798,,HMT.N;HST.N,OK,
HSY,HSY,8590927363,,HSY.N,OK,
HUM,HUM,8590929348,,HUM.N,OK,
IBM,IBM,8590927768,,IBM.N,OK,
ICE,ICE,8590919695,,ICE.N,OK,
IDXX,IDXX.O,8590941770,,IDXX.OQ,OK,
IFF,IFF,8590943307,,IFF.N,OK,
ILMN,ILMN.O,8590932338,,ILMN.OQ,OK,
INCY,INCY.O,8590927197,,INCY.OQ,OK,
INFO,INFO.K,18040302505,,,OK,
INTC,INTC.O,8590927847,,INTC.OQ,OK,
INTU,INTU.O,8590926231,,INTU.OQ,OK,
IP,IP,8590931669,,IP.N,OK,
IPG,IPG.PH^B09,8590920171,,IPG.N,OK,
IPGP,IPGP.O,8590937626,,IPGP.OQ,OK,
IQV,IQV,21519452836,,Q.N;IQV.N,OK,
IR,IR,21612250250,,GDI.N,OK,
IRM,IRM,8590924557,,IRM.N,OK,
ISRG,ISRG.O,8590938471,,ISRG.OQ;ISRGD.OQ,OK,
IT,IT,8590922691,,IT.N,OK,
ITW,ITW,8590941206,,ITW.N,OK,
IVZ,IVZ,8590924926,,AVZ.N;IVZ.N,OK,
JBHT,JBHT.O,8590934294,,JBHT.OQ,OK,
JCI,JCI,8590923047,,TYC.N;JCI.N,OK,
JEC,JEC.B^J07,8590928788,,JEC.N,OK,
JEF,JEF,8590932665,,LUK.N;JEF.N,OK,
JNJ,JNJ,8590923462,,JNJ.N,OK,
JNPR,JNPR.W^E14,8590922040,,JNPR.OQ;JNPR.N,OK,
JPM,JPM,8590935416,,JPM.N,OK,
JWN,JWN.PH^B09,8590943967,,JWN.N,OK,
K,K.B^J07,8590930662,,K.N,OK,
KEY,KEY,8590935327,,KEY.N,OK,
KHC,KHC.O,21566906309,,KHC.OQ,OK,
KIM,KIM,8590937121,,KIM.N,OK,
KLAC,KLAC.O,8590942124,,KLAC.OQ,OK,
KMB,KMB.O,8590920512,,KMB.N,OK,
KMI,KMI,21475147580,,KMI.N,OK,
KMX,KMX,8590943099,,KMX.N,OK,
KO,KO,8590941073,,KO.N,OK,
KR,KR,8590932158,,KR.N,OK,
KSS,KSS,8590933741,,KSS.N,OK,
KSU,KSU.B^J07,8590920327,,KSU.N,OK,
L,L,8590921044,,LTR.N;L.N,OK,
LB,LB,232848940358,,,OK,
LEG,LEG.PH^B09,8590937493,,LEG.N,OK,
LEN,LEN,8590920235,,LEN.N,OK,
LH,LH,8590925535,,LH.N,OK,
LKQ,LKQ.O,8590922915,,LKQX.OQ;LKQ.OQ,OK,
LLY,LLY,8590943610,,LLY.N,OK,
LMT,LMT,8590933196,,LMT.N,OK,
LNC,LNC,8590938671,,LNC.N,OK,
LNT,LNT.O,8590934693,,LNT.N;LNT.OQ,OK,
LOW,LOW,8590926020,,LOW.N,OK,
LRCX,LRCX.O,8590940996,,LRCX.OQ,OK,
LUV,LUV,8590936854,,LUV.N,OK,
LYB,LYB,21474990880,,LYB.N,OK,
MA,MA,8590938634,,MA.N,OK,
MAA,MAA,8590943138,,MAA.N,OK,
MAC,MAC,8590935321,,MAC.N,OK,
MAR,MAR.O,8590942394,,MAR.N;MAR.OQ,OK,
MAS,MAS,8590941656,,MAS.N,OK,
MAT,MAT.O,8590931914,,MAT.N;MAT.OQ,OK,
MCD,MCD,8590933966,,MCD.N,OK,
MCHP,MCHP.O,8590940856,,MCHP.OQ,OK,
MCK,MCK,8590924393,,MCK.N,OK,
MCO,MCO,8590933587,,MCO.N,OK,
MDLZ,MDLZ.O,8590924768,,KFT.N;KFT.OQ;MDLZ.OQ,OK,
MDT,MDT,8590939637,,MDT.N,OK,
MET,MET,8590934962,,MET.N,OK,
MGM,MGM,8590942275,,MGG.N;MGM.N,OK,
MHK,MHK,8590938090,,MHK.N,OK,
MKC,MKC,8590920790,,MKC.N,OK,
MLM,MLM,8590938260,,MLM.N,OK,
MMC,0#MCM:,,,,ERROR,Unable to resolve all requested identifiers in ['0#MCM:'].
MMM,MMM,8590922160,,MMM.N,OK,
MNST,MNST.O,8590926396,,HANS.OQ;MNST.OQ,OK,
MO,MO,8590939103,,MO.N,OK,
MON,MON.PH^B09,8590932583,,MON.N;MON.N^F18,OK,
MOS,MOS,8590930094,,MOS.N,OK,
MPC,MPC,21475853855,,MPC_w.N;MPC.N,OK,
MRK,MRK,8590923036,,MRK.N,OK,
MRO,MRO.PH^B09,8590937648,,MRO.N,OK,
MS,MS,8590935312,,MWD.N;MS.N,OK,
MSFT,MSFT.O,8590921450,,MSFT.OQ,OK,
MSI,MSI,8590929095,,MOT.N;MSI.N,OK,
MTB,MTB,8590935817,,MTB.N,OK,
MTD,MTD,8590931163,,MTD.N,OK,
MU,MU.O,8590931992,,MU.N;MU.OQ,OK,
MYL,MYL.TH^L08,8590922168,,MYL.N;MYL.OQ,OK,
NAVI,NAVI.O,21540287800,,NAVIV.OQ;NAVI.OQ,OK,
NBL,NBL.PH^B09,8590935692,,NBL.N,OK,
NCLH,NCLH.K,21475872704,,NCLH.OQ;NCLH.N,OK,
NDAQ,NDAQ.O,8590921690,,NDAQ.OQ,OK,
NEE,NEE,8590924291,,FPL.N;NEE.N,OK,
NEM,NEM,8590922510,,NEM.N,OK,
NFLX,NFLX.O,8590938832,,NFLX.OQ,OK,
NFX,NFX,18040307257,,,OK,
NI,NI,8590928932,,NI.N,OK,
NKE,NKE,8590932796,,NKE.N,OK,
NLSN,NLSN.W^E14,21475753402,,NLSN.N,OK,
NOC,NOC,8590933517,,NOC.N,OK,
NOV,NOV,8590927855,,NOI.N;NOV.N,OK,
NRG,NRG,8590931331,,NRG.N,OK,
NSC,NSC,8590927195,,NSC.N,OK,
NTAP,NTAP.O,8590920723,,NTAP.OQ,OK,
NTRS,NTRS.O,8590932587,,NTRS.OQ,OK,
NUE,NUE,8590935235,,NUE.N,OK,
NVDA,NVDA.O,8590928394,,NVDA.OQ,OK,
NWL,NWL.O,8590932835,,NWL.N;NWL.OQ,OK,
NWSA,NWSA.O,21525175303,,NWSAV.OQ;NWSA.OQ,OK,
O,O,8590924656,,O.N,OK,
OKE,OKE,8590930424,,OKE.N,OK,
OMC,OMC,8590940410,,OMC.N,OK,
ORCL,ORCL.K,8590938374,,ORCL.OQ;ORCL.N,OK,
ORLY,ORLY.O,8590933183,,ORLY.OQ,OK,
OXY,OXY,8590927335,,OXY.N,OK,
PAYX,PAYX.O,8590941323,,PAYX.OQ,OK,
PBCT,PBCT.B^J07,8590924026,,PBCT.OQ;PBCTD.OQ,OK,
PCAR,PCAR.O,8590924989,,PCAR.OQ,OK,
PCG,PCG,8590924051,,PCG.N,OK,
PDCO,PDCO.B^J07,8590930385,,PDCO.OQ,OK,
PEG,PEG,8590926535,,PEG.N,OK,
PEP,PEP.O,8590928762,,PEP.N;PEP.OQ,OK,
PFE,PFE,8590930286,,PFE.N,OK,
PFG,PFG.O,8590933117,,PFG.N;PFG.OQ,OK,
PG,PG,8590931320,,PG.N,OK,
PGR,PGR,8590920444,,PGR.N,OK,
PH,PH,8590931166,,PH.N,OK,
PHM,PHM,8590937252,,PHM.N,OK,
PKG,PKG,8590923198,,PKG.N,OK,
PKI,PKI.B^J07,8590922597,,PKI.N,OK,
PLD,PLD,8590939273,,AMB.N;PLD.N,OK,
PM,PM,8590930498,,PM_w.N;PM.N,OK,
PNC,PNC,8590929038,,PNC.N,OK,
PNR,PNR,8590941696,,PNR.N,OK,
PNW,PNW,8590925741,,PNW.N,OK,
PPG,PPG,8590924975,,PPG.N,OK,
PPL,PPL,8590926958,,PPL.N,OK,
PRGO,PRGO.K,8590940661,,PRGO.OQ;PRGO.N,OK,
PRU,PRU,8590942593,,PRU.N,OK,
PSA,PSA,8590934842,,PSA.N,OK,
PSX,PSX,21482736192,,PSX_w.N;PSX.N,OK,
PVH,PVH,8590932836,,PVH.N,OK,
PWR,PWR,8590925009,,PWR.N,OK,
PXD,PXD.PH^B09,8590932340,,PXD.N,OK,
PYPL,PYPL.O,21566817961,,PYPLV.OQ;PYPL.OQ,OK,
QCOM,QCOM.O,8590935666,,QCOM.OQ,OK,
QRVO,QRVO.O,21556717214,,QRVO.OQ,OK,
RCL,RCL,8590922816,,RCL.N,OK,
RE,0RCK8,21836432616,,,OK,
REG,REG.O,8590926381,,REG.N;REG.OQ,OK,
REGN,REGN.O,8590920640,,REGN.OQ,OK,
RF,RF,8590941068,,RF.N,OK,
RHI,RHI,8590932982,,RHI.N,OK,
RHT,RHT.PH^B09,8590940721,,RHAT.OQ;RHT.N,OK,
RJF,RJF,8590930708,,RJF.N,OK,
RL,RL,8590936518,,RL.N,OK,
RMD,RMD,8590931698,,RMD.N,OK,
ROK,ROK,8590919968,,ROK.N,OK,
ROP,ROP.O,8590937317,,ROP.N,OK,
ROST,ROST.O,8590925980,,ROST.OQ,OK,
RRC,RRC,8590932753,,RRC.N,OK,
RSG,RSG,8590925540,,RSG.N,OK,
RTN,RTN.B^J07,8590939194,,RTN.N,OK,
SBAC,SBAC.O,8590922606,,SBAC.OQ,OK,
SBUX,SBUX.O,8590938069,,SBUX.OQ,OK,
SCG,SCG.W^E14,8590934742,,SCG.N;SCG.N^A19,OK,
SCHW,SCHW.K,8590924373,,SCH.N;SCHW.OQ;SCHW.N,OK,
SEE,SEE.PH^B09,8590941861,,SEE.N,OK,
SHW,SHW,8590932892,,SHW.N,OK,
SIG,SIG,8591044710,,SIG.N,OK,
SJM,SJM,8590943672,,SJM.N,OK,
SLB,SLB,8590933613,,SLB.N,OK,
SLG,SLG,8590931377,,SLG.N,OK,
SNA,SNA,8590922491,,SNA.N,OK,
SNPS,SNPS.O,8590929840,,SNPS.OQ,OK,
SO,SO,8590940729,,SO.N,OK,
SPG,SPG,8590927880,,SPG.N,OK,
SPGI,SPGI.K,8590939251,,MHP.N;MHFI.N;SPGI.N,OK,
SPX,SPOc1,21825775016,,,OK,
SRCL,SRCL.B^J07,8590925461,,SRCL.OQ,OK,
SRE,SRE,8590938545,,SRE.N,OK,
STI,STI.O,25727198769,,,OK,
STT,STT,8590941028,,STT.N,OK,
STX,STX.O,8590926246,,STX.N;STX.OQ,OK,
STZ,STZ,8590919702,,STZ.N,OK,
SWK,SWK,8590927364,,SWK.N,OK,
SWKS,SWKS.O,8590932592,,SWKS.OQ,OK,
SYF,SYF,21538651599,,IPO-SYF.N;SYF.N,OK,
SYK,SYK,8590926401,,SYK.N,OK,
SYMC,SYMC.B^J07,8590930721,,SYMC.OQ,OK,
SYY,SYY,8590924738,,SYY.N,OK,
T,T,8590932179,,SBC.N;T.N,OK,
TAP,TAP,8590937839,,RKY.N;TAP.N,OK,
TDG,TDG,8590921529,,TDG.N,OK,
TEL,TEL,8590932496,,TEL_w.N;TEL.N,OK,
TGT,TGT,8590929360,,TGT.N,OK,
TIF,TIF.PH^B09,8590935543,,TIF.N,OK,
TJX,TJX,8590942093,,TJX.N,OK,
TMO,TMO,8590930410,,TMO.N,OK,
TPR,TPR,8590943083,,COH.N;TPR.N,OK,
TRIP,TRIP.O,21480769555,,TRIPV.OQ;TRIP.OQ,OK,
TROW,TROW.O,8590935685,,TROW.OQ,OK,
TRV,TRV,8590924671,,SPC.N;STA.N;TRV.N,OK,
TSCO,TSCO.O,8590942415,,TSCO.OQ,OK,
TSN,TSN,8590934007,,TSN.N,OK,
TSS,TSS.W^E14,8590937359,,TSS.N,OK,
TWX,TWX.N^F18,8590933762,,AOL.N;TWX.N;TWX.N^F18,OK,
TXN,TXN.O,8590922112,,TXN.N;TXN.OQ,OK,
TXT,TXT,8590941964,,TXT.N,OK,
UAA,UAA,8590940860,,UARM.OQ;UA.N;UAA.N,OK,
UAL,UAL.O,8590939195,,UAUA.OQ;UAL.N;UAL.OQ,OK,
UDR,UDR,8590930393,,UDR.N,OK,
UHS,UHS,8590931138,,UHS.N,OK,
ULTA,ULTA.O,8590932624,,ULTA.OQ,OK,
UNH,UNH,8590935024,,UNH.N,OK,
UNM,UNM,8590930318,,UNM.N,OK,
UNP,UNP,8590921514,,UNP.N,OK,
UPS,UPS,8590921622,,UPS.N,OK,
URI,URI,8590923970,,URI.N,OK,
USB,USB,8590928078,,USB.N,OK,
UTX,UTX.PH^B09,8590939759,,UTX.N,OK,
V,V,8590943063,,V.N,OK,
VAR,VAR.B^J07,8590932311,,VAR.N,OK,
VFC,VFC,8590920893,,VFC.N,OK,
VIAB,VIAB.W^E14,8590934020,,VIAb.N;VIAB.OQ,OK,
VLO,VLO,8590919682,,VLO.N,OK,
VMC,VMC,8590928988,,VMC.N,OK,
VNO,VNO,8590938465,,VNO.N,OK,
VRSK,VRSK.O,8591030300,,VRSK.OQ,OK,
VRSN,VRSN.O,8590921133,,VRSN.OQ,OK,
VRTX,VRTX.O,8590933066,,VRTX.OQ,OK,
VTR,VTR,8590922811,,VTR.N,OK,
VZ,VZ,8590940502,,VZ.N,OK,
WAT,WAT,8590937760,,WAT.N,OK,
WBA,WBA.AX^B20,8590937051,,WBA.AX,OK,
WDC,WDC.O,8590932469,,WDC.N;WDC.OQ,OK,
WEC,WEC,8590923883,,WEC.N,OK,
WELL,WELL.K,8590934009,,HCN.N;WELL.N,OK,
WFC,WFC,8590931104,,WFC.N,OK,
WHR,WHR,8590937793,,WHR.N,OK,
WLTW,WTW.O,8590928578,,WSH.N;WLTW.OQ,OK,
WM,WM,8590938963,,WMI.N;WM.N,OK,
WMB,WMB,8590930677,,WMB.N,OK,
WMT,WMT.O,8590938702,,WMT.N,OK,
WRK,01WRKH3^1,,,,ERROR,"Unable to collect data for the field 'TR.OrganizationID' and some specific identifier(s). Requested universes: ['01WRKH3^1']. Requested fields: ['TR.INSTRUMENTID', 'TR.ORGANIZATIONID']"
WU,WU,8590964879,,WU_w.N;WU.N,OK,
WY,WY,8590920223,,WY.N,OK,
WYND,WYNDZ3^1,,,,ERROR,"Unable to collect data for the field 'TR.OrganizationID' and some specific identifier(s). Requested universes: ['WYNDZ3^1']. Requested fields: ['TR.INSTRUMENTID', 'TR.ORGANIZATIONID']"
WYNN,WYNN.O,8590943508,,WYNN.OQ,OK,
XEC,XEC.W^E14,8590935140,,XEC.N,OK,
XEL,XEL.O,8590928639,,XEL.N;XEL.OQ,OK,
XL,0#XLW+,,,,ERROR,Unable to resolve all requested identifiers in ['0#XLW+'].
XLNX,XLNX.B^J07,8590940285,,XLNX.OQ,OK,
XOM,XOM,8590941523,,XOM.N,OK,
XRAY,XRAY.O,8590934327,,XRAY.OQ,OK,
XRX,XRX.O,8590925276,,XRX.N,OK,
XYL,XYL,21476038965,,XYL_w.N;XYL.N,OK,
YUM,YUM,8590922371,,YUM.N,OK,
ZBH,ZBH,8590937417,,ZMH.N;ZBH.N,OK,
ZION,ZION.O,8590938964,,ZION.OQ,OK,
ZTS,ZTS,21509987551,,ZTS.N,OK,
